source,n_nodes,n_edges,density,avg_degree,degree_gini,degree_entropy,n_components,giant_cc_ratio,avg_shortest_path_gcc,diameter_gcc,avg_clustering,assortativity,modularity,n_communities
2506.23719_graph,54,102,0.07127882599580712,3.7777777777777777,0.0,5.464425209368558,5,0.7407407407407407,3.51025641025641,8,0.43772780717225157,-0.05393723593439211,0.7417573794586183,9
2505.18646_graph,49,121,0.10289115646258504,4.938775510204081,0.0,5.32859243160899,3,0.42857142857142855,2.0476190476190474,4,0.5317357245928674,-0.021661746492915798,0.6359690699653856,4
2505.20286_graph,15,16,0.1523809523809524,2.1333333333333333,0.0,3.757048827786958,5,0.3333333333333333,1.4,2,0.3777777777777777,0.2904073587385012,0.6051504197530864,6
2505.13941_graph,184,742,0.04407222618199097,8.065217391304348,0.0,6.93387445344429,9,0.8152173913043478,3.1835346756152125,8,0.5345052824102832,-0.13742092596108044,0.5416888273026172,14
2505.23695_graph,27,46,0.13105413105413105,3.4074074074074074,0.0,4.568058392546859,4,0.5555555555555556,2.1142857142857143,4,0.6598765432098765,-0.19933766399184846,0.6248875180194942,5
2506.08119_graph,55,77,0.05185185185185185,2.8,0.0,5.520155661610013,13,0.36363636363636365,3.1578947368421053,8,0.40099567099567096,0.18899373235071285,0.8007447445833851,15
2507.03724_graph,112,184,0.029601029601029602,3.2857142857142856,0.0,6.5607050613664155,13,0.25892857142857145,2.8891625615763545,6,0.39152494331065757,0.16352846478006308,0.8515540124860741,14
2504.10519_graph,15,23,0.21904761904761905,3.066666666666667,0.0,3.680716305335992,2,0.8666666666666667,2.128205128205128,4,0.45015873015873015,-0.0745406824146994,0.34689579808081067,4
2504.02495_graph,85,165,0.046218487394957986,3.8823529411764706,0.0,5.948919138810741,7,0.8117647058823529,3.7821824381926685,11,0.3316747313068566,-0.23762765404794914,0.5583111069248059,14
2506.20743_graph,194,305,0.016291864750814594,3.1443298969072164,0.0,6.510854728045808,61,0.5412371134020618,3.3772893772893773,7,0.2314832092811171,-0.09749640122169494,0.6119161202162684,66
2507.17289_graph,48,67,0.05939716312056738,2.7916666666666665,0.0,5.273596071534424,8,0.3541666666666667,2.389705882352941,4,0.2567956349206349,-0.15595093678393376,0.6909540437385854,9
2507.02554_graph,65,96,0.046153846153846156,2.953846153846154,0.0,5.646299173455131,5,0.8923076923076924,4.595886267392619,10,0.3767765567765568,-0.15274166863625596,0.7291411365696013,10
2506.23844_graph,178,259,0.016441312765822384,2.9101123595505616,0.0,6.980712548677952,11,0.6966292134831461,5.408471020194073,12,0.30124880260372655,-0.23636250938764483,0.7995748322924322,19
